Loan_ID,Customer_ID,Loan_Amount,Loan_Type,Credit_Score,Repayment_History,Collateral_Value,Loan_Tenure,Default_Status
L00245,C00245,718234,Home,409,50.721093924104544,3164364,24,1
L00246,C00246,428480,Business,496,91.53067098035308,1023019,120,0
L00247,C00247,841971,Home,744,64.58797339024309,773443,133,0
L00248,C00248,551157,Vehicle,368,59.24757993145373,995698,25,1
L00249,C00249,4428727,Home,563,74.73563175931154,1921202,114,1
L00250,C00250,4174499,Home,669,81.73420755867724,1886578,207,0
L00251,C00251,2663501,Vehicle,775,68.4705301178362,3675135,194,0
L00252,C00252,2971944,Home,328,92.96402330663135,2499649,230,0
L00253,C00253,4377576,Personal,600,85.91641726752091,1813274,359,0
L00254,C00254,3133153,Home,667,61.67366940095316,1518699,167,0
L00255,C00255,2849487,Vehicle,337,94.18922803598534,3581706,190,0
L00256,C00256,2954941,Education,736,68.39301485241843,2555986,323,0
L00257,C00257,2150021,Vehicle,489,93.78417554814655,1008887,87,0
L00258,C00258,1410828,Vehicle,537,71.31390543756628,541493,107,1
L00259,C00259,668467,Education,329,69.82207914222676,1948888,290,1
L00260,C00260,2185619,Personal,319,68.7613594824763,2809308,201,1
L00261,C00261,4005488,Personal,626,73.29938856802416,2533106,82,0
L00262,C00262,4724351,Personal,560,68.5138773594233,1529950,106,1
L00263,C00263,1757923,Business,380,96.76333003636103,1309319,29,0
L00264,C00264,178391,Home,336,79.22783887671372,3343858,61,0
L00265,C00265,1067026,Education,782,93.85543223533925,2726140,310,0
L00266,C00266,4351754,Education,718,91.88318385394636,3479536,310,0
L00267,C00267,2319042,Home,414,98.14107383719247,1300067,210,0
L00268,C00268,2033509,Vehicle,523,95.66943808734342,1563338,76,0
L00269,C00269,166381,Personal,784,84.33468702200112,692479,216,0
L00270,C00270,1571701,Home,453,77.82925132468401,728471,309,0
L00271,C00271,1670197,Vehicle,803,63.9688686106872,1983351,233,0
L00272,C00272,2281660,Business,647,97.4720436108562,3070823,100,0
L00273,C00273,1828226,Education,320,52.20452299630763,939231,59,1
L00274,C00274,1249386,Home,829,51.08309971253154,587194,343,0
L00275,C00275,3488618,Education,442,83.42456992476556,768992,65,0
L00276,C00276,2064484,Education,359,53.744360714054665,586328,197,1
L00277,C00277,2987629,Home,667,94.98313463397946,1998449,309,0
L00278,C00278,2507184,Personal,531,87.25839515826712,3116397,351,0
L00279,C00279,3193963,Vehicle,634,80.70539667855664,2751495,45,0
L00280,C00280,4153022,Personal,354,58.41098730556208,805452,109,1
L00281,C00281,1468175,Vehicle,527,81.58859734375113,2603980,350,0
L00282,C00282,3856688,Personal,692,63.86539752707061,3429982,276,0
L00283,C00283,4974207,Vehicle,375,92.53444748090024,1678592,158,0
L00284,C00284,3822962,Business,789,69.19236388192068,3758523,241,0
L00285,C00285,4241423,Vehicle,616,67.62942694162383,1071368,41,0
L00286,C00286,4091776,Vehicle,440,88.14591854150721,750676,238,0
L00287,C00287,2777423,Vehicle,627,55.39730990964687,3110455,149,0
L00288,C00288,1810427,Home,454,61.37754310656682,539445,14,1
L00289,C00289,4368427,Education,843,88.06997892250277,1809853,306,0
L00290,C00290,3501356,Home,642,78.07452064856302,2601612,217,0
L00291,C00291,1181565,Home,664,76.5859433637907,1397324,252,0
L00292,C00292,3494084,Personal,739,58.9803303985124,2575423,230,0
L00293,C00293,2977109,Business,575,87.46051425989484,662552,279,0
L00294,C00294,4422578,Business,520,58.34644357136231,1385381,312,1
L00295,C00295,2559079,Business,527,66.8881336591043,1813868,147,1
L00296,C00296,2937004,Personal,830,68.2446885865876,743424,271,0
L00297,C00297,1981760,Vehicle,686,83.73824478426226,3595038,328,0
L00298,C00298,181373,Education,615,55.46435546575353,2332059,161,0
L00299,C00299,165294,Business,404,76.89104580755331,2428781,150,0
L00300,C00300,3182514,Home,539,90.35445379720984,586397,202,0
L00301,C00301,4892611,Business,404,70.72258167941537,3567122,124,1
L00302,C00302,4385868,Business,575,93.6379119621063,2747770,101,0
L00303,C00303,1476388,Education,593,96.03846095992077,1092731,258,0
L00304,C00304,3901424,Business,423,89.4281234293249,2209751,358,0
L00305,C00305,2265167,Personal,652,87.33747890961004,2211699,75,0
L00306,C00306,3936402,Education,350,86.46360249359364,3655601,94,0
L00307,C00307,739944,Personal,546,81.52983083129209,3968582,358,0
L00308,C00308,738105,Personal,399,84.9362256920439,488802,301,0
L00309,C00309,2660910,Education,790,89.28415490933146,3692371,315,0
L00310,C00310,2039173,Personal,383,67.69860360441042,660863,89,1
L00311,C00311,3130761,Business,399,91.48106645095307,3388861,232,0
L00312,C00312,1464466,Vehicle,350,93.4921537957591,2270588,310,0
L00313,C00313,495101,Education,772,66.32355291153985,1839580,209,0
L00314,C00314,1155534,Home,395,75.38149464867313,1853037,306,0
L00315,C00315,3277802,Vehicle,508,64.15773742924812,3811470,61,1
L00316,C00316,1633593,Vehicle,504,86.68091833848587,2772884,103,0
L00317,C00317,1853649,Business,380,56.00301679448689,609059,73,1
L00318,C00318,1274665,Personal,452,86.68952052412783,2577391,19,0
L00319,C00319,2344544,Personal,737,56.327479366683136,2268921,138,0
L00320,C00320,4403127,Personal,554,96.32695056132833,877571,14,0
L00321,C00321,548863,Education,687,92.07129227083023,2393995,32,0
L00322,C00322,417654,Home,394,94.44176914989751,3854438,278,0
L00323,C00323,2726188,Personal,335,70.91889207771338,3414452,218,1
L00324,C00324,3345990,Vehicle,318,72.05572006752124,130942,179,1
L00325,C00325,1542785,Vehicle,711,98.0830879429044,1057867,237,0
L00326,C00326,847079,Home,413,74.636858173215,2707695,317,1
L00327,C00327,4908380,Business,382,90.19485214234979,913530,72,0
L00328,C00328,4092787,Home,687,98.47403472909937,1320714,41,0
L00329,C00329,3978083,Home,383,79.88376818199585,2522920,45,0
L00330,C00330,2749015,Vehicle,315,81.55132508353717,2221949,264,0
L00331,C00331,3464527,Personal,598,85.5575841099302,2880590,328,0
L00332,C00332,1336125,Education,644,99.9167647758741,2844878,62,0
L00333,C00333,3790047,Business,441,90.7007806068747,618698,342,0
L00334,C00334,498982,Education,732,69.28126801366355,3408231,134,0
L00335,C00335,1222622,Home,659,69.21612837422362,2428688,335,0
L00336,C00336,2553771,Business,731,54.45127663623467,1625573,177,0
L00337,C00337,3227825,Personal,578,82.2175066151334,2812856,30,0
L00338,C00338,1046161,Personal,660,94.04135310331631,2884009,309,0
L00339,C00339,4233839,Education,599,55.82814843661691,1895033,330,1
L00340,C00340,716326,Home,592,62.22071962972014,3552092,356,1
L00341,C00341,699150,Personal,339,83.71107768759765,2435070,99,0
L00342,C00342,3425957,Home,695,92.16421348722355,522140,237,0
L00343,C00343,168834,Personal,419,56.00175782666967,2216017,88,1
L00344,C00344,3289576,Business,427,57.89710247324874,3669527,160,1
L00345,C00345,3248649,Vehicle,787,74.44075028977714,1078014,220,0
L00346,C00346,4529125,Home,495,73.939972842598,3611486,58,1
L00347,C00347,4299913,Education,633,80.03345877268194,598814,93,0
L00348,C00348,4472201,Home,739,63.7149565534282,2291533,351,0
L00349,C00349,1129600,Personal,561,76.88627499852836,1616856,28,0
L00350,C00350,1075715,Business,507,75.0169448452266,392064,268,0
L00351,C00351,1488533,Education,487,79.10875269192667,852589,130,0
L00352,C00352,2331230,Vehicle,626,61.51393632707691,1262428,181,0
L00353,C00353,3553157,Vehicle,350,88.37439094102194,2691855,80,0
L00354,C00354,511243,Home,343,80.6027706582816,910850,278,0
L00355,C00355,2108852,Home,776,54.251333105618436,3074211,12,0
L00356,C00356,3309360,Business,566,97.32871382853973,3346168,209,0
L00357,C00357,2035588,Home,849,61.60835064264754,597615,317,0
L00358,C00358,301451,Home,559,83.25183694795976,1274151,224,0
L00359,C00359,4247355,Personal,503,98.1816244112194,2875336,156,0
L00360,C00360,1802683,Personal,636,75.99010563880317,3824274,288,0
L00361,C00361,1054646,Home,573,73.70728951453623,1911069,270,1
L00362,C00362,1021525,Business,714,50.27494989662774,3161755,350,0
L00363,C00363,3917500,Vehicle,671,56.3134923240993,652732,301,0
L00364,C00364,4433711,Vehicle,611,88.61952494269147,1247855,85,0
L00365,C00365,499395,Home,733,70.45417430684299,2748461,270,0
L00366,C00366,1310386,Personal,639,66.32567404004587,1628218,62,0
L00367,C00367,3104390,Personal,400,90.47762059949619,1629653,81,0
L00368,C00368,3429569,Personal,359,53.77116259241432,3975619,14,1
L00369,C00369,2950603,Personal,542,50.607938273842436,1789649,138,1
L00370,C00370,3017197,Education,616,75.71489174542452,3510841,323,0
L00371,C00371,272866,Education,766,87.68168316807468,1515226,253,0
L00372,C00372,1185248,Vehicle,564,65.02035138469019,3613804,46,1
L00373,C00373,1696711,Vehicle,740,81.54732896807735,2951721,194,0
L00374,C00374,1473286,Vehicle,389,77.87835512707802,3275385,325,0
L00375,C00375,3745961,Personal,613,57.95389059807045,2960681,98,0
L00376,C00376,3227945,Vehicle,418,55.22181360504665,428532,174,1
L00377,C00377,3463821,Education,376,93.81660629664492,3732778,68,0
L00378,C00378,233062,Vehicle,771,72.1105524334733,2934089,203,0
L00379,C00379,2541518,Business,729,87.23810446482383,2230275,272,0
L00380,C00380,2891992,Business,469,97.6231244234256,2324979,52,0
L00381,C00381,4344539,Business,431,61.14557537757682,2892755,33,1
L00382,C00382,3270468,Home,422,97.37328944790048,707716,226,0
L00383,C00383,4994505,Education,696,54.344287518292624,1132229,42,0
L00384,C00384,853328,Business,656,68.05538407079321,3368524,48,0
L00385,C00385,4112958,Vehicle,385,91.30384698482628,2687620,230,0
L00386,C00386,1093233,Vehicle,561,63.18809289582455,1847458,338,1
L00387,C00387,1761741,Personal,428,69.87916044198136,1441493,351,1
L00388,C00388,579525,Education,447,84.42798413811605,2017605,29,0
L00389,C00389,226615,Home,731,63.386349097062734,3073745,197,0
L00390,C00390,4431932,Home,539,85.7220527829882,2097750,324,0
L00391,C00391,2785988,Home,586,68.70151429990777,1309262,39,1
L00392,C00392,4651020,Personal,332,51.122391081245,2117421,83,1
L00393,C00393,3749391,Education,417,98.32563468984931,2583766,161,0
L00394,C00394,591252,Education,649,60.83809409299933,3938719,196,0
L00395,C00395,1736293,Business,740,69.6855570668452,3558235,18,0
L00396,C00396,3662610,Personal,602,90.89110946910316,490066,98,0
L00397,C00397,2214367,Education,520,61.586887841468595,1666020,28,1
L00398,C00398,1954050,Education,849,72.38735301810235,3532238,129,0
L00399,C00399,194356,Vehicle,547,92.63950806644252,2683841,299,0
L00400,C00400,4448165,Vehicle,800,55.87631086708119,624435,58,0
L00401,C00401,3149320,Home,483,96.45589811436444,376168,337,0
L00402,C00402,405612,Personal,718,85.15764570225336,3672675,281,0
L00403,C00403,3650333,Home,701,59.771564108731866,2244134,94,0
L00404,C00404,59435,Personal,816,95.87410037650963,2869929,272,0
L00405,C00405,4691860,Education,683,88.47720300076949,1794203,128,0
L00406,C00406,1798014,Home,726,72.06512876271364,1797371,16,0
L00407,C00407,3771309,Personal,827,62.86159495304323,3999103,30,0
L00408,C00408,4323085,Education,750,77.8582075847119,3169464,50,0
L00409,C00409,2338627,Business,523,93.36653818400629,216432,285,0
L00410,C00410,814121,Home,600,84.76647519305962,2409991,271,0
L00411,C00411,1219748,Education,734,50.491556562737344,2875450,194,0
L00412,C00412,3552630,Home,776,95.28224159577074,633469,242,0
L00413,C00413,2632115,Business,368,78.48924320692379,3972883,138,0
L00414,C00414,1157677,Education,463,54.02399079678597,2102145,106,1
L00415,C00415,338790,Business,836,98.66225933851707,2103985,214,0
